Sl.No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
1,A - IPC Crime,Murder (Sec.302/303 IPC),For gain,10,3,2,3
2,A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,13,1,1,4
3,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,7,3,2,3
4,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,2,1,0,1
5,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
6,A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,4,0,0,4
7,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
8,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0,0,0,0
9,A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
10,A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,2,0,0,0
11,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
12,A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,0,0,0
13,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,8,2,0,2
14,A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,17,0,5,2
15,A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
16,A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,1,0,0,0
17,A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,6,1,3,2
18,A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
19,A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
20,A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,3,1,1,1
21,A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,15,4,2,2
22,A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,30,16,8,8
23,A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0
24,A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0
25,A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,309,67,83,90
26,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,6,0,2,1
27,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,21,1,12,3
28,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,29,7,7,12
29,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,7,4,2,1
30,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,12,1,1,1
31,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1,0,1,0
32,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,0,0,0,0
33,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,2,0,1,0
34,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0
35,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
36,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
37,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,6,0,1,4
38,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,6,2,2,2
39,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
40,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,0,0,0,0
41,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,6,2,1,1
42,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,1,0,1,0
43,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0
44,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,94,12,19,26
45,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,95,13,25,21
46,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,2,0,1,0
47,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Other Causes,614,112,154,188
48,A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,93,22,23,22
49,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Gain,0,0,0,0
50,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Over Civil Dispute,0,0,0,0
51,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Personal Vendetta or enemity,0,1,0,0
52,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Sexual jealousy,0,0,0,0
53,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Dowry,0,0,0,0
54,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Communalism,0,0,0,0
55,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Casteism,0,0,0,0
56,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Witch Craft (Sorcery),0,0,0,0
57,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Human Sacrifice,1,0,0,0
58,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
59,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Political Reasons,0,0,0,0
60,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Adultery,0,0,0,0
61,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Property Disputes,0,0,0,0
62,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Electoral Gain,0,0,0,0
63,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Gang Rivalry,0,0,0,0
64,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Love Intrigue,0,0,0,0
65,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Professional ,0,0,0,0
66,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Sudden Quarrel,7,0,4,0
67,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Other Causes,33,3,3,7
68,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Gain,0,0,0,0
69,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Over Civil Dispute,1,0,0,0
70,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Personal Vendetta or enemity,0,0,0,0
71,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Sexual jealousy,0,0,0,0
72,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Dowry,0,0,0,0
73,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Communalism,0,0,0,0
74,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Casteism,0,0,0,0
75,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Witch Craft (Sorcery),0,0,0,0
76,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Human Sacrifice,0,0,0,0
77,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
78,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Political Reasons,1,0,0,1
79,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Other Causes,18,1,2,7
80,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Adultery,0,0,0,0
81,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Property Disputes,0,0,0,0
82,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Electoral Gain,0,0,0,0
83,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Gang Rivalry,0,0,0,0
84,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Love Intrigue,0,0,0,0
85,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Professional ,1,0,0,1
86,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sudden Quarrel,3,0,1,1
87,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sub Total,24,1,3,10
88,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),"RAPE (Sec.376, 376(A) to 376 (D) IPC)",,,,
89,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Custodial Rape,1,0,0,0
90,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Attempt to Commit,3,0,1,1
91,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By a Gang,6,0,2,1
92,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Parents,0,0,0,0
93,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Hospital Staff,0,0,0,0
94,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Husband During Sepearation,0,1,0,0
95,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Neighbours,18,1,3,6
96,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Relatives,18,6,5,3
97,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),In Jail Custody,0,0,0,0
98,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),In Remand Home,0,0,0,0
99,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),InCest,0,0,0,0
100,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Known Person,108,28,29,29
101,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Unknown Person,2,1,2,0
102,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Other Causes,40,8,11,9
103,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),On Minor,0,0,0,0
104,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Boy,308,58,55,58
105,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Girl,912,166,250,245
106,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Children,4,1,2,1
107,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Cildren for Begging,0,0,0,0
108,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Women,2,1,0,1
109,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Girls for Immoral Purpose,0,0,0,0
110,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of  Others,26,1,7,5
111,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For Prostitution,0,0,0,0
112,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - Importring of Girl,0,0,0,0
113,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For other Purpose,9,0,1,4
114,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Espionage,0,0,0,0
115,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Intent to Steal From Child,0,0,0,0
116,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Murder (Homicide),0,0,0,0
117,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Obtain Signature Forcibly,0,0,0,0
118,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Recovering Loan,1,0,0,0
119,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Settling any Disputes,4,0,2,0
120,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Unnatural Lust / Illicit Intercourse,0,0,0,0
121,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Wrongful Confinement,7,1,3,1
122,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Exporting,0,0,0,0
123,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",From Lawful Guardianship,0,0,0,0
124,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Camel Racing Etc.,0,0,0,0
125,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",To Compel For Marriage,3,1,0,2
126,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Slavery,0,0,0,0
127,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Stealing From its Person,0,0,0,0
128,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Others,172,25,30,63
129,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At ATM,0,0,0,0
130,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,16,0,3,3
131,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Highways,8,0,2,3
132,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Trains,0,0,0,0
133,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Banks,0,0,0,0
134,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,5,0,2,0
135,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,10,2,3,1
136,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Other Places,26,7,8,5
137,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),River & Sea,1,0,0,0
138,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),Preparation And Assembly for Dacoity,39,7,11,6
139,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At ATM,0,0,0,0
140,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Residential Premises,64,13,11,19
141,A - IPC Crime,Robbery (Sec.392 to 394 IPC),On Highways,38,4,12,6
142,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Trains,3,0,0,1
143,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Banks,0,0,0,0
144,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,24,4,4,5
145,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,305,47,87,65
146,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,233,41,63,51
147,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,17,3,5,5
148,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,863,169,205,206
149,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0
150,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
151,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,16,4,2,2
152,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,243,41,59,49
153,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,173,37,36,36
154,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,103,21,15,22
155,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,311,59,67,64
156,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0
157,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,1,0,0,0
158,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,0,0,0,0
159,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,16,6,7,3
160,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,24,2,5,8
161,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,8,2,1,3
162,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Sand,528,83,205,110
163,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,16,1,7,3
164,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,32,16,9,6
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,2,1,0,0
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,69,8,22,14
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,148,14,37,31
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,45,8,14,18
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,27,10,9,4
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,3,0,0,0
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,91,14,18,11
